quote,author,category
"A weird time in which we are alive. We can travel anywhere we want, even to other planets. And for what? To sit day after day, declining in morale and hope.","Philip K. Dick, The Man in the High Castle","despair, existentialism, future, hopelessness"
The first principle is that you must not fool yourself and you are the easiest person to fool.,Richard Feynman,science
"How can you find answers, if you do not ask questions?",Lailah Gifty Akita,"asking, philosophy, questions, seeking"
"Most people trusted in the future, assuming that their preferred version of it would unfold.","Jhumpa Lahiri, The Lowland","destiny, fate, future"
We never know how high we are till we are called to rise. Then if we are true to form our statures touch the skies.,"Emily Dickinson, Collected Poems of Emily Dickinson",inspirational
"Writing means not just staring ugliness in the face, but finding a way to embrace  it.",Veronica Roth,"inspirational, writing"
Align your activity with your vision. Being consistent and intentional with your daily activities will result in sustainable success.,"Farshad Asl, The ""No Excuses"" Mindset: A Life of Purpose, Passion, and Clarity","activity, intentional, success, sustainability, vision"
"Parents teach children discipline for two different, indeed diametrically opposed, reasons: to render the child submissive to them and to make him independent of them. Only a self-disciplined person can be obedient; and only such a person can be autonomous.",Thomas Szasz,"discipline, education"
A marriage filled with unconditional love experiences the depth of grace and mercy.,"Elizabeth George, Moments of Grace for a Woman's Heart","christian, experiences, faith, god, grace"
Whatever we may say about the soul going to the sky... we know there is no sky but only an atmosphere.,Leo Tolstoy,soul
I had aimed at Mars and was about to hit Venus unquestionably the all-time cosmic record for poor shots. ,"Edgar Rice Burroughs, Pirates of Venus","dark-humor, funny, humor, science-fiction, space-travel"
"For a couple of days he was nice and I was on cloud number 9,damn they don’t teach how to come down from there instead leave us to gravity.","Pushpa Rana, Just the Way I Feel"," gravity, happy, sadness, teach"
"The world was full of monsters, and they were all allowed to bite the innocent and the unwary","Stephen King, Cujo",truth
"Most people do not really want others to have freedom of speech, they just want others to be given the freedom to say want they want to hear.",Mokokoma Mokhonoana,"agreement, consensus, freedom, unanimity"
It strikes me that perhaps this is part of what we are fighting to choose. Which pain to feel.,"Ally Condie, Matched","choice, pain"
"Friendship is one of our most treasured relationships, but it isn't codified and celebrated; it's never going to give you a party.",Hanya Yanagihara,"party, relationships, you "
I wonder how it is possible to believe in religion and also believe nothing is wrong with you.,"M.F. Moonzajer, LOVE, HATRED AND MADNESS","athiesm, believe, possible, religion, wonder"
There comes a stage at which a man would rather die cleanly by a bullet than by the unknown terror of the phantom in the forest.,"Tahir Shah, House of the Tiger King: The Quest for a Lost City","death, fear, forest, jungle, phantom"
"Christ is not valued at all, unless he is valued above all.",Augustine of Hippo,inspirational
"I recalled my father-in-law's aphorism ""To fool a judge, feign fascination, but to bamboozle the whole court, feign boredom..."" & I pretended to extract a speck from my eye.","David Mitchell, Cloud Atlas","advice, human-nature"
Don't run I never liked fast food,Rachel Caine,"crazy, humor, vampires"
You can only diffuse light in dark places.,"Lailah Gifty Akita, Think Great: Be Great!","dark, darkness, inspirational, life, motivational"
"Don't let your tragedies fool you, they were never meant to alter your path; just re-pave your direction. Spend time nurturing the things that once tore you apart and you will find within you, your most empowering strength.",Nikki Rowe,"alter, growth, guidance, journey, life"
"Even of his sins the Enemy does not want him to think too much: once they are repented, the sooner the man turns his attention outward, the better the Enemy is pleased.","C.S. Lewis, The Screwtape Letters",spiritual
"... why I like timetables, because they make sure I don't get lost in time.","Mark Haddon, The Curious Incident of the Dog in the Night-Time","structure, time"
"I feel like if you're a really good human being, you can try to find something beautiful in every single person, no matter what.",Lady Gaga,"beautiful, you, human "
"What right does my present have to speak of my past? Has my present some advantage over my past? What ""grace"" might have enlightened me? except that of passing time, or of a good cause, encountered on my way?","Roland Barthes, Roland Barthes","biography, memory, past, present, time"
"She may be an old flame, but she still smokin'.","Lois Greiman, Unscrewed","chick-lit, humor, mystery"
"A great number isn’t bad though, but doesn’t take numbers to change the world.","Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts","change, crowd, few-people, israelmore-ayivor, leaders"
i am awake and aliveand swollen and heavywith love.,"AVA., you are safe here.","alive, awake, change, changing, feeling"
"There is more than one road to spiritual salvation. We discover a philosophical way of living by encountering the world, culling knowledge from all available resources, and thinking reverently about life.","Kilroy J. Oldster, Dead Toad Scrolls","knowing-oneself, learning, life-lessons, personal-salvation, philosophical"
Your consciousness creates pure potentiality where nothing is impossible.,Debasish Mridha,"consciousness, debasish-mridha, inspirational, philosophy, pure-potential"
"Ripples of karmic events are best humbly done in an artistic, significant, unique karmic harvests without any forms of retaliation.",Angelica Hopes,"humility, karma, reflections, revenge, wisdom"
Never be afraid to love. Just be careful who you love.,"Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity","love, love-hurts, love, love-story"
"No poet or novelist wishes he was the only one who ever lived, but most of them wish they were the only one alive, and quite a number believe their wish has been granted.",W.H. Auden,"ego, egotism, novelists, writers"
"Once you are at the point where you can call yourself a writer, there’s no turning back.",A.D. Posey,"ad-posey, inspirational, storytellers, storytelling, write"
To find joy in work is to discover the fountain of youth.,Pearl S. Buck,"joy, youth, find "
There are many different forms of family and there is in fact NO 'the' family.The basic building block of any close relationship - and thus any family - is LOVE.,"Christina Engela, All That Remains"," different, family, forms, love, no"
"We can only continue to promote invention, creativity and success by asking of ourselves, our situations and problems some key questions. What questions are you asking today?","Archibald Marwizi, Making Success Deliberate","attitude, effectiveness, excellence, growth, inspirational"
A society becomes a breeding ground of violence and terrorism when it closes its door to new ideas and forces the citizens to live in the prison of conforming thoughts.,Debasish Mridha,"debasish-mridha, inspirational, new-ideas, philosophy, quotes"
"This bullet can go straight through the couch.""He was right. Fuck Ikea for making such flimsy furniture.","Karina Halle, Shooting Scars","action, humour"
"Our bird of hope was being denied the altitude it sought, just free enough to fly dangerously close to the reality of the treetops.","Dan Groat, An Enigmatic Escape: A Trilogy","hope, reality, reality"
"The beach is a natural park, without the greenery but the sand is a natural toy.",Anuradha Bhattacharyya,"beach, natural, nature, park, play"
The worst thing you can do is make money at the expense of losing your time.,J.R. Rim,"life, lose, lost-time, make-money, time"
